ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt
0,gold-standard,[  0  40  80 120 160],[0.54045455 0.17       0.26363636 0.02590909],1.0,1.0,4
1,equal-width,[  0.  70. 140.],[0.66954545 0.33045455],0.8045037367495799,0.49110227376311255,1
2,equal-width-data,[  0.  70. 140.],[0.66954545 0.33045455],0.8045037367495799,0.49110227376311255,1
3,equal-frequency,[  0.  37. 140.],[0.49181818 0.50818182],0.8406217880226478,0.4962227296233288,1
4,kbins,[  0.  70. 140.],[0.66954545 0.33045455],0.8045037367495799,0.49110227376311255,1
5,kbins-quantile,[  0.  37. 140.],[0.49181818 0.50818182],0.8406217880226478,0.4962227296233288,1
6,decision-tree,[  0.   59.5 140. ],[0.62363636 0.37636364],0.8198505446354674,0.49408290815238654,1
7,kmeans,[  0.          24.41807494 140.        ],[0.30227273 0.69772727],0.8202238321853549,0.49487411046244234,1
8,random-forest,[  0.   59.5 140. ],[0.62363636 0.37636364],0.8198505446354674,0.49408290815238654,1
9,equal-width,[  0.          46.66666667  93.33333333 140.        ],[0.57863636 0.23772727 0.18363636],0.9732064141240048,0.6093523179521068,1
10,equal-width-data,[  0.     46.667  93.333 140.   ],[0.57863636 0.23772727 0.18363636],0.9732064141240048,0.6093523510561887,1
11,equal-frequency,[  0.  27.  69. 140.],[0.33136364 0.33363636 0.335     ],0.9565544903280605,0.6088477812960085,1
12,kbins,[  0.          46.66666667  93.33333333 140.        ],[0.57863636 0.23772727 0.18363636],0.9732064141240048,0.6093523179521068,1
13,kbins-quantile,[  0.  27.  69. 140.],[0.33136364 0.33363636 0.335     ],0.9565544903280605,0.6088477812960085,1
14,decision-tree,[  0.   59.5  99.5 140. ],[0.62363636 0.23363636 0.14272727],0.9415615817050069,0.6053631673987083,1
15,kmeans,[  0.          22.43362137  69.88598575 140.        ],[0.27636364 0.39318182 0.33045455],0.9531517901161635,0.6079496314386647,1
16,random-forest,[  0.   40.5  79.5  99.5 140. ],[0.56045455 0.15       0.14681818 0.14272727],0.9270377069544784,0.9308876038042334,1
17,equal-width,[  0.  35.  70. 105. 140.],[0.46090909 0.20863636 0.21909091 0.11136364],0.8908278290610584,0.9339335248240426,1
18,equal-width-data,[  0.  35.  70. 105. 140.],[0.46090909 0.20863636 0.21909091 0.11136364],0.8908278290610584,0.9339335248240426,2
19,equal-frequency,[  0.    21.    37.    84.25 140.  ],[0.24363636 0.24818182 0.25818182 0.25      ],0.810482619977988,0.8495760032287651,1
20,kbins,[  0.  35.  70. 105. 140.],[0.46090909 0.20863636 0.21909091 0.11136364],0.8908278290610584,0.9339335248240426,2
21,kbins-quantile,[  0.    21.    37.    84.25 140.  ],[0.24363636 0.24818182 0.25818182 0.25      ],0.810482619977988,0.8495760032287651,1
22,decision-tree,[  0.   40.5  59.5  99.5 140. ],[0.56045455 0.06318182 0.23363636 0.14272727],0.9423039073899442,0.9150247116654563,1
23,kmeans,[  0.          11.41611842  33.96398892  76.11777778 140.        ],[0.14181818 0.30181818 0.255      0.30136364],0.8203437428872006,0.8250048507174832,1
24,random-forest,[  0.   40.5  69.5  91.5  97.  140. ],[0.56045455 0.10909091 0.13409091 0.03136364 0.165     ],0.8846109243582223,0.6224622234259208,1
25,equal-width,[  0.  28.  56.  84. 112. 140.],[0.35045455 0.25409091 0.13772727 0.18909091 0.06863636],0.7792972603930327,0.6268949797874854,2
26,equal-width-data,[  0.  28.  56.  84. 112. 140.],[0.35045455 0.25409091 0.13772727 0.18909091 0.06863636],0.7792972603930327,0.6268949797874854,1
27,equal-frequency,[  0.  17.  31.  54.  91. 140.],[0.19545455 0.19863636 0.20545455 0.195      0.20545455],0.698023894894026,0.5708424290738501,1
28,kbins,[  0.  28.  56.  84. 112. 140.],[0.35045455 0.25409091 0.13772727 0.18909091 0.06863636],0.7792972603930327,0.6268949797874854,2
29,kbins-quantile,[  0.  17.  31.  54.  91. 140.],[0.19545455 0.19863636 0.20545455 0.195      0.20545455],0.698023894894026,0.5708424290738501,1
30,decision-tree,[  0.   40.5  59.5  99.5 120.5 140. ],[0.56045455 0.06318182 0.23363636 0.12318182 0.01954545],0.92232338710886,0.6421741468125385,1
31,kmeans,"[  0.          10.04664179  31.52631579  62.62692308  90.00502513
 140.        ]",[0.13       0.28272727 0.22863636 0.15318182 0.20545455],0.7137073957530176,0.574992643666809,1
32,random-forest,[  0.   40.5  59.7  79.9  95.7 100.3 140. ],[0.56045455 0.06318182 0.08681818 0.12181818 0.03409091 0.13363636],0.8349971979738089,0.5434560854383269,1
33,equal-width,"[  0.          23.33333333  46.66666667  70.          93.33333333
 116.66666667 140.        ]",[0.28909091 0.28954545 0.09090909 0.14681818 0.13772727 0.04590909],0.696666520038896,0.5082923299569468,1
34,equal-width-data,[  0.     23.333  46.667  70.     93.333 116.667 140.   ],[0.28909091 0.28954545 0.09090909 0.14681818 0.13772727 0.04590909],0.696666520038896,0.5082916724157486,1
35,equal-frequency,[  0.  14.  27.  37.  69.  96. 140.],[0.16363636 0.16772727 0.16045455 0.17318182 0.16727273 0.16772727],0.6074160836287681,0.47438869791678606,1
36,kbins,"[  0.          23.33333333  46.66666667  70.          93.33333333
 116.66666667 140.        ]",[0.28909091 0.28954545 0.09090909 0.14681818 0.13772727 0.04590909],0.696666520038896,0.5082923299569468,1
37,kbins-quantile,[  0.  14.  27.  37.  69.  96. 140.],[0.16363636 0.16772727 0.16045455 0.17318182 0.16727273 0.16772727],0.6074160836287681,0.47438869791678606,1
38,decision-tree,[  0.   40.5  59.5  79.5  99.5 120.5 140. ],[0.56045455 0.06318182 0.08681818 0.14681818 0.12318182 0.01954545],0.8533754048681306,0.5184770590467561,1
39,kmeans,"[  0.           7.42716049  23.40692641  37.10599078  64.52439024
  90.34020619 140.        ]",[0.09181818 0.19727273 0.22045455 0.13863636 0.14636364 0.20545455],0.6190430976419715,0.4714014342227071,1
40,random-forest,"[  0.          40.5         59.83333333  80.16666667  90.5
  98.83333333 101.16666667 140.        ]","[0.56045455 0.06318182 0.09318182 0.07772727 0.05227273 0.02636364
 0.12681818]",0.8020173198128344,0.4802027269281909,1
41,equal-width,[  0.  20.  40.  60.  80. 100. 120. 140.],"[0.22772727 0.31272727 0.08318182 0.08681818 0.14681818 0.11681818
 0.02590909]",0.6492716914991682,0.42912040736909307,2
42,equal-width-data,[  0.  20.  40.  60.  80. 100. 120. 140.],"[0.22772727 0.31272727 0.08318182 0.08681818 0.14681818 0.11681818
 0.02590909]",0.6492716914991682,0.42912040736909307,2
43,equal-frequency,[  0.  12.  23.  32.  44.  80.  99. 140.],"[0.14181818 0.13454545 0.13636364 0.15772727 0.14       0.13636364
 0.15318182]",0.5283673827320872,0.4040135010885636,1
44,kbins,[  0.  20.  40.  60.  80. 100. 120. 140.],"[0.22772727 0.31272727 0.08318182 0.08681818 0.14681818 0.11681818
 0.02590909]",0.6492716914991682,0.42912040736909307,2
45,kbins-quantile,[  0.  12.  23.  32.  44.  80.  99. 140.],"[0.14181818 0.13454545 0.13636364 0.15772727 0.14       0.13636364
 0.15318182]",0.5283673827320872,0.4040135010885636,1
46,decision-tree,[  0.   19.5  40.5  59.5  79.5  99.5 120.5 140. ],"[0.22772727 0.33272727 0.06318182 0.08681818 0.14681818 0.12318182
 0.01954545]",0.6497288858595696,0.42839961720278685,1
